Merged_RHO_DATASET
State,Year,state_population,annual_inpatient_stays,admission_rate_per_100k,suicidal thoughts_lag1,suicide hotline_lag1,self harm_lag1,mental health crisis_lag1,suicide prevention_lag1,crisis hotline_lag1,psychiatric hospital_lag1,depression help_lag1
Alaska,2014,737075.0,,,16.25,0.0,15.166666666666700,0.0,22.08333333333330,0.0,0.0,8.25
Alaska,2015,738430.0,261050.0,35352.030659642800,0.0,8.083333333333330,0.0,0.0,12.416666666666700,0.0,0.0,0.0
Alaska,2016,742575.0,271000.0,36494.63017203650,0.0,0.0,16.0,0.0,9.25,0.0,0.0,0.0
Alaska,2017,740983.0,275600.0,37193.835756016,0.0,0.0,6.333333333333330,0.0,12.75,0.0,0.0,13.25
Alaska,2018,736624.0,278950.0,37868.70913790480,7.666666666666670,24.33333333333330,7.5,0.0,3.6666666666666700,0.0,0.0,6.416666666666670
Alaska,2019,733603.0,282450.0,38501.75094703810,0.0,22.0,0.0,0.0,18.33333333333330,0.0,8.333333333333330,5.583333333333330
Alaska,2020,731158.0,258550.0,35361.713884003200,0.0,11.416666666666700,0.0,0.0,27.5,0.0,0.0,10.583333333333300
Alaska,2021,734590.0,269550.0,36693.938115139100,0.0,14.5,0.0,0.0,11.916666666666700,0.0,0.0,8.333333333333330
Alaska,2022,733659.0,270700.0,36897.25063006110,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0
Alaska,2023,734654.0,278950.0,37970.25538552840,0.0,15.333333333333300,15.916666666666700,0.0,11.5,0.0,0.0,3.75
Arizona,2014,6732873.0,3427600.0,50908.430917975100,67.75,26.416666666666700,69.83333333333330,4.833333333333330,21.08333333333330,6.333333333333330,50.083333333333300,53.41666666666670
Arizona,2015,6832810.0,3366750.0,49273.28580774240,78.33333333333330,28.75,78.58333333333330,8.583333333333330,23.666666666666700,22.83333333333330,44.66666666666670,59.0
Arizona,2016,6944767.0,3356600.0,48332.79503833610,68.66666666666670,26.5,70.33333333333330,0.0,28.25,36.083333333333300,50.083333333333300,64.33333333333330
Arizona,2017,7048088.0,3249550.0,46105.41185070330,66.75,34.0,49.583333333333300,12.75,22.58333333333330,55.083333333333300,49.41666666666670,63.75
Arizona,2018,7164228.0,3557450.0,49655.734016282,64.41666666666670,57.083333333333300,51.25,17.75,29.75,58.583333333333300,51.16666666666670,67.75
Arizona,2019,7291843.0,3504200.0,48056.43785802850,70.33333333333330,57.5,47.75,22.416666666666700,35.416666666666700,66.33333333333330,57.0,74.25
Arizona,2020,7421401.0,3286200.0,44280.049009614200,64.0,47.41666666666670,41.833333333333300,31.916666666666700,37.91666666666670,70.75,55.25,73.08333333333330
Arizona,2021,7274022.0,3388100.0,46578.082936785200,48.833333333333300,44.5,44.25,45.91666666666670,31.75,57.333333333333300,52.5,72.5
Arizona,2022,7370065.0,3136650.0,42559.32613891470,52.25,44.41666666666670,54.16666666666670,45.0,31.83333333333330,73.08333333333330,67.5,77.08333333333330
Arizona,2023,7452073.0,3901450.0,52353.888642797800,44.333333333333300,53.91666666666670,49.75,65.66666666666670,35.833333333333300,67.33333333333330,70.66666666666670,79.75
