State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Alaska,2017,303.6506910414949,297.92939073439595,407.01229080593055,-4.362284194775944,-0.8681987536662,-0.3772988808517259,13.515732962044742
Alaska,2018,319.02300223723364,289.53304380028953,408.6863708548655,-4.243584002378927,-0.6232935961871023,-0.45983504661688973,13.509832864596445
Alaska,2019,333.9680999123504,303.6506910414949,410.77284130055324,-3.918115706997613,-0.19469758904653045,-1.192840057569761,13.505723289338059
Alaska,2020,348.76182712902,319.02300223723364,383.6663830875743,-3.797098560526949,-0.04990112695492485,-1.2787490779575255,13.502384857647401
Arizona,2016,205.91043587207463,223.53013342149777,340.20570289804556,0.9787944906416544,-0.049951439025867454,1.845416543060584,15.753498984291735
Arizona,2017,196.5071945753231,209.28432079920267,326.4687823758098,1.0840785209289092,-0.8896444606482699,0.5670826556041411,15.768266932331784
Arizona,2018,244.26916619627409,205.91043587207463,320.53858529211817,1.9857092656640185,-0.2050224511726251,-0.19582768195848904,15.784610867451955
Arizona,2019,220.10896285068125,196.5071945753231,336.96497073849866,2.6524477533314665,-0.26317913387474773,-0.5790479424459363,15.802266884104585
Arizona,2020,218.28762520715424,244.26916619627409,338.416825777874,2.602641254000422,-0.8820126973989525,-1.0581729118689487,15.819878411336612
Arkansas,2016,491.3405407754156,515.3668586773126,471.0828871611189,-1.5950902723070388,0.017884804801938037,0.9220625092934749,14.911390784614053
Arkansas,2017,489.37115806189047,538.6390453906594,454.8669643061209,-1.4157157089678967,0.6339297690748393,0.7763250499729276,14.915407021726477
Arkansas,2018,531.180106242661,491.3405407754156,434.42530117676023,-0.75770679629782,1.782507947795877,-0.14326567896985207,14.918168319328615
Arkansas,2019,590.8668861315101,489.37115806189047,423.4516309703626,-0.2445040521099029,1.7782956189271533,-0.7666687154490539,14.921093495113185
Arkansas,2020,584.0577959836622,531.180106242661,432.5890154604101,-0.5482347059342494,1.9527887101849701,-0.49993595915976313,14.924245439875257
California,2016,290.55521103299566,323.68660854336724,264.4206232790121,2.141431696850123,-1.711782059860528,1.5592101386449806,17.482890188358624
California,2017,294.88188010585753,312.5618826260216,247.11391992867485,1.557915810947486,-1.5765408834894936,1.0151110546225044,17.48769606532379
California,2018,307.95591491268084,290.55521103299566,218.18791878563368,2.5382564254258004,-0.7901697004625189,0.28761045581621925,17.490226760071923
California,2019,300.09425013331185,294.88188010585753,253.75154923931996,3.0191882129782894,-0.641697922660719,-0.028215466620948985,17.49023048748527
California,2020,270.7777606008604,307.95591491268084,249.38908591043807,2.944436363039408,-1.290500800503386,-0.46795983231255134,17.4884658428306
Colorado,2016,236.29813537321755,268.09215719280047,343.73464216247976,1.7661131342957204,0.7079602121717512,1.1241691486614396,15.528198680927842
Colorado,2017,242.10398330479413,259.42700915676505,331.274237123452,1.2887699280946723,-0.16832778228693632,-0.18978425886688094,15.541383219747361
Colorado,2018,253.6353671262235,236.29813537321755,331.268360059858,2.2265294187405242,0.4555732289397152,-0.7505673444294281,15.55547748539451
Colorado,2019,249.19744530072663,242.10398330479413,321.3932491683057,2.8876112427964116,-0.19634956457130764,-1.3894481944167705,15.566185150899466
Colorado,2020,246.2240339107316,253.6353671262235,334.460433498115,3.0604448164364753,-0.7852855966615946,-1.8149792179058097,15.574698452773644
Delaware,2018,170.6334638076082,168.4230027926639,497.319554552387,-3.6155809055899044,-0.21797650919657735,-0.7705055055963652,13.78193826242267
Delaware,2019,189.41953662861897,172.2442486079533,505.00891003409623,-3.7523878788430935,-0.22667802135507054,-0.8576531093340098,13.791902057511923
Delaware,2020,192.5397924015691,170.6334638076082,457.10291723801794,-3.9914235460819802,-0.7519903605456564,-0.29178142064534457,13.802231783984885
Florida,2016,485.28069949455664,520.0494815119262,241.57072822674417,2.0050861819997623,-1.296608832095443,1.2754796449816568,16.842122944909654
Florida,2017,498.4008982371196,552.447632341501,218.75274653531545,1.182595516582233,-1.411827586768246,0.6268903819686068,16.858941400113977
Florida,2018,498.2374438753633,485.28069949455664,224.15216005404992,2.0116152315966476,-0.5982585418196887,-0.28567098617772607,16.87209923823521
Florida,2019,501.3480329662271,498.4008982371196,226.24888194551983,2.643886182498974,-0.44177892300657845,-0.7147282383859985,16.88319393644815
