State,Year,Category,CategoryScore
Alabama,2013,Care_Seeking,70.25
Alaska,2013,Care_Seeking,62.75
Arizona,2013,Care_Seeking,62.25
Arkansas,2013,Care_Seeking,72.0
California,2013,Care_Seeking,66.0
Colorado,2013,Care_Seeking,64.25
Connecticut,2013,Care_Seeking,77.0
Delaware,2013,Care_Seeking,70.75
District of Columbia,2013,Care_Seeking,68.5
Florida,2013,Care_Seeking,64.75
Georgia,2013,Care_Seeking,61.5
Hawaii,2013,Care_Seeking,66.0
Idaho,2013,Care_Seeking,65.5
Illinois,2013,Care_Seeking,58.75
Indiana,2013,Care_Seeking,60.5
Iowa,2013,Care_Seeking,61.5
Kansas,2013,Care_Seeking,62.0
Kentucky,2013,Care_Seeking,67.75
Louisiana,2013,Care_Seeking,84.5
Maine,2013,Care_Seeking,69.0
Maryland,2013,Care_Seeking,79.25
Massachusetts,2013,Care_Seeking,69.25
Michigan,2013,Care_Seeking,64.5
Minnesota,2013,Care_Seeking,79.5
Mississippi,2013,Care_Seeking,70.75
Missouri,2013,Care_Seeking,62.5
Montana,2013,Care_Seeking,79.25
Nebraska,2013,Care_Seeking,65.0
Nevada,2013,Care_Seeking,69.0
New Hampshire,2013,Care_Seeking,65.0
New Jersey,2013,Care_Seeking,71.75
New Mexico,2013,Care_Seeking,67.25
New York,2013,Care_Seeking,80.5
North Carolina,2013,Care_Seeking,68.75
North Dakota,2013,Care_Seeking,68.25
Ohio,2013,Care_Seeking,59.75
Oklahoma,2013,Care_Seeking,65.5
Oregon,2013,Care_Seeking,44.75
Pennsylvania,2013,Care_Seeking,72.5
Rhode Island,2013,Care_Seeking,68.75
South Carolina,2013,Care_Seeking,71.0
South Dakota,2013,Care_Seeking,62.0
Tennessee,2013,Care_Seeking,70.25
Texas,2013,Care_Seeking,60.75
Utah,2013,Care_Seeking,73.75
Vermont,2013,Care_Seeking,72.75
Virginia,2013,Care_Seeking,65.75
Washington,2013,Care_Seeking,67.5
West Virginia,2013,Care_Seeking,72.5
Wisconsin,2013,Care_Seeking,64.0
Wyoming,2013,Care_Seeking,56.0
Alabama,2013,Economic_Hardship,68.75
Alaska,2013,Economic_Hardship,60.0
Arizona,2013,Economic_Hardship,61.75
Arkansas,2013,Economic_Hardship,57.75
California,2013,Economic_Hardship,42.75
Colorado,2013,Economic_Hardship,61.0
Connecticut,2013,Economic_Hardship,49.5
Delaware,2013,Economic_Hardship,59.5
District of Columbia,2013,Economic_Hardship,65.25
Florida,2013,Economic_Hardship,69.25
Georgia,2013,Economic_Hardship,64.25
Hawaii,2013,Economic_Hardship,43.75
Idaho,2013,Economic_Hardship,67.75
Illinois,2013,Economic_Hardship,55.25
Indiana,2013,Economic_Hardship,74.0
Iowa,2013,Economic_Hardship,54.5
Kansas,2013,Economic_Hardship,62.0
Kentucky,2013,Economic_Hardship,65.25
Louisiana,2013,Economic_Hardship,62.25
Maine,2013,Economic_Hardship,49.75
Maryland,2013,Economic_Hardship,62.25
Massachusetts,2013,Economic_Hardship,47.5
Michigan,2013,Economic_Hardship,59.5
Minnesota,2013,Economic_Hardship,55.0
Mississippi,2013,Economic_Hardship,61.5
Missouri,2013,Economic_Hardship,66.5
Montana,2013,Economic_Hardship,65.75
Nebraska,2013,Economic_Hardship,56.75
Nevada,2013,Economic_Hardship,75.0
New Hampshire,2013,Economic_Hardship,51.0
New Jersey,2013,Economic_Hardship,61.0
New Mexico,2013,Economic_Hardship,59.0
New York,2013,Economic_Hardship,62.25
North Carolina,2013,Economic_Hardship,60.25
North Dakota,2013,Economic_Hardship,42.5
Ohio,2013,Economic_Hardship,67.0
Oklahoma,2013,Economic_Hardship,56.25
Oregon,2013,Economic_Hardship,47.25
Pennsylvania,2013,Economic_Hardship,61.0
Rhode Island,2013,Economic_Hardship,55.5
South Carolina,2013,Economic_Hardship,58.0
South Dakota,2013,Economic_Hardship,49.25
Tennessee,2013,Economic_Hardship,64.5
Texas,2013,Economic_Hardship,53.0
Utah,2013,Economic_Hardship,60.5
Vermont,2013,Economic_Hardship,46.25
Virginia,2013,Economic_Hardship,52.25
Washington,2013,Economic_Hardship,65.25
West Virginia,2013,Economic_Hardship,54.75
Wisconsin,2013,Economic_Hardship,64.5
Wyoming,2013,Economic_Hardship,57.5
Alabama,2013,Psychological_Distress,80.25
Alaska,2013,Psychological_Distress,72.75
Arizona,2013,Psychological_Distress,65.0
Arkansas,2013,Psychological_Distress,73.0
California,2013,Psychological_Distress,64.25
Colorado,2013,Psychological_Distress,73.25
Connecticut,2013,Psychological_Distress,77.5
Delaware,2013,Psychological_Distress,72.0
District of Columbia,2013,Psychological_Distress,68.25
Florida,2013,Psychological_Distress,61.75
Georgia,2013,Psychological_Distress,64.25
Hawaii,2013,Psychological_Distress,55.5
Idaho,2013,Psychological_Distress,73.25
Illinois,2013,Psychological_Distress,70.25
Indiana,2013,Psychological_Distress,76.75
Iowa,2013,Psychological_Distress,75.5
Kansas,2013,Psychological_Distress,76.75
Kentucky,2013,Psychological_Distress,77.0
Louisiana,2013,Psychological_Distress,72.0
Maine,2013,Psychological_Distress,84.0
Maryland,2013,Psychological_Distress,76.75
Massachusetts,2013,Psychological_Distress,79.0
Michigan,2013,Psychological_Distress,76.0
Minnesota,2013,Psychological_Distress,79.25
Mississippi,2013,Psychological_Distress,79.75
Missouri,2013,Psychological_Distress,71.75
Montana,2013,Psychological_Distress,81.25
Nebraska,2013,Psychological_Distress,68.25
Nevada,2013,Psychological_Distress,66.0
New Hampshire,2013,Psychological_Distress,84.25
New Jersey,2013,Psychological_Distress,68.25
New Mexico,2013,Psychological_Distress,74.0
New York,2013,Psychological_Distress,71.25
North Carolina,2013,Psychological_Distress,74.5
North Dakota,2013,Psychological_Distress,69.25
Ohio,2013,Psychological_Distress,71.0
Oklahoma,2013,Psychological_Distress,73.0
Oregon,2013,Psychological_Distress,49.0
Pennsylvania,2013,Psychological_Distress,80.75
Rhode Island,2013,Psychological_Distress,78.0
South Carolina,2013,Psychological_Distress,75.75
South Dakota,2013,Psychological_Distress,68.25
Tennessee,2013,Psychological_Distress,75.75
Texas,2013,Psychological_Distress,61.75
Utah,2013,Psychological_Distress,72.75
Vermont,2013,Psychological_Distress,84.5
Virginia,2013,Psychological_Distress,73.0
Washington,2013,Psychological_Distress,73.5
West Virginia,2013,Psychological_Distress,87.0
Wisconsin,2013,Psychological_Distress,74.25
Wyoming,2013,Psychological_Distress,67.0
Alabama,2013,Substance_Use,59.5
Alaska,2013,Substance_Use,44.5
Arizona,2013,Substance_Use,58.25
Arkansas,2013,Substance_Use,51.75
California,2013,Substance_Use,46.5
Colorado,2013,Substance_Use,45.75
Connecticut,2013,Substance_Use,61.25
Delaware,2013,Substance_Use,57.0
District of Columbia,2013,Substance_Use,50.0
Florida,2013,Substance_Use,53.25
Georgia,2013,Substance_Use,52.75
Hawaii,2013,Substance_Use,38.75
Idaho,2013,Substance_Use,49.25
Illinois,2013,Substance_Use,47.25
Indiana,2013,Substance_Use,55.5
Iowa,2013,Substance_Use,40.0
Kansas,2013,Substance_Use,44.75
Kentucky,2013,Substance_Use,65.75
Louisiana,2013,Substance_Use,53.0
Maine,2013,Substance_Use,72.75
Maryland,2013,Substance_Use,53.75
Massachusetts,2013,Substance_Use,58.25
Michigan,2013,Substance_Use,53.75
Minnesota,2013,Substance_Use,48.5
Mississippi,2013,Substance_Use,50.75
Missouri,2013,Substance_Use,54.5
Montana,2013,Substance_Use,56.5
Nebraska,2013,Substance_Use,41.5
Nevada,2013,Substance_Use,47.75
