STATEFIP,YEAR,mental_health_clients,anxiety_cases,depression_cases,substance_cases,trauma_stress_cases,bipolar_cases,schizophrenia_cases,serious_mental_illness
1,2013,97362,14529,30290,9575,10240,17876,17755,67233
1,2014,94474,14619,28849,9306,9798,17472,17859,65208
1,2015,101582,15725,30670,11405,11616,18553,18145,59001
1,2016,104320,13409,30571,3150,10583,12683,17756,55812
1,2017,103959,13683,29663,359,11257,12534,18041,63086
1,2018,102424,14132,29522,113,12039,12191,18187,52994
1,2019,103203,14907,43136,23,11235,10822,15520,75542
1,2020,97527,16621,31107,15,13116,12055,17853,76711
1,2021,94898,19354,31670,10,13866,12153,17927,78337
1,2022,93151,20179,30542,104,14930,11649,17300,78125
1,2023,92197,21638,29406,17,15097,11587,16655,82046
1,2024,93506,21896,28154,21,16716,11431,16773,79279
2,2019,11082,1579,2691,1197,3260,626,940,21489
2,2020,10337,1518,2611,1038,3327,527,649,20169
2,2021,9636,1542,2421,1143,3060,434,558,17698
2,2022,9438,1550,2245,1086,2950,414,505,17259
2,2023,10517,1833,2344,952,3252,446,677,18977
2,2024,13463,2204,2821,905,3691,744,1018,22521
4,2013,191093,41231,50638,746,43755,50225,21504,207904
4,2014,158173,36314,40475,695,38607,42700,20466,318593
4,2015,155122,38311,41237,904,38782,40969,20121,316150
4,2016,187972,47726,46702,2690,40498,35080,20473,401924
4,2017,196212,49424,45782,97,21789,29027,21379,440708
4,2018,224773,58444,52891,64,23942,31377,23947,557526
4,2020,384334,75600,71662,64082,69160,30137,27503,888076
4,2021,405709,112352,91110,47609,86056,34752,31928,921202
4,2022,425114,130715,97653,51100,95016,36903,33406,972611
4,2023,436829,151733,100343,58357,101461,38084,34077,870511
4,2024,520878,153574,81680,116164,97236,33681,32222,1126624
5,2013,69963,6900,17754,1,8887,13330,8688,148196
5,2014,67641,6911,17225,4,8580,13284,8684,142533
5,2015,69398,7718,18983,11,9648,13592,8629,148424
5,2016,74458,9606,22159,0,11608,8133,8941,148280
5,2017,74985,10586,22191,1,12408,7926,9508,140264
5,2018,74888,8839,20005,2,11472,6775,7887,144988
5,2019,76139,9157,19300,0,11742,6620,7234,160999
5,2020,77552,9586,19271,4177,12098,6851,8542,172133
5,2021,76483,9357,18791,4320,12674,6696,8654,175484
5,2022,72266,8850,17278,4051,12711,5940,8141,177968
5,2023,66396,8488,15874,3252,10878,5687,7700,164481
