fips_st,st_abbrev,popn_pums_23,phys_wkforc_23,phys_mal_23,phys_fem_23,phys_lt30_23,phys_ge60_23,pa_23,rn_23,aprn_23,dent_23,pharm_23,pt_23,ot_23,resp_ther_23,psychol_23,conslrs_23,socwk_23,med_asst_23,nurse_aide_23,home_hlth_aide_emplymt_24,phys_emplymt_24,pa_emplymt_24,rn_emplymt_24,np_emplymt_24,dent_gen_emplymt_24,pharm_emplymt_24,pt_emplymt_24,ot_emplymt_24,pa_medn_wage_24,rn_medn_wage_24,np_medn_wage_24,dent_gen_medn_wage_24,pharm_medn_wage_24,pt_medn_wage_24,ot_medn_wage_24,resp_ther_medn_wage_24,med_asst_medn_wage_24,home_hlth_aide_medn_wage_24,phys_wh_23,phys_bl_23,phys_hsp_23,phys_asn_23,rn_wh_23,rn_bl_23,rn_hsp_23,rn_asn_23,phys_degrs_23,rn_degrs_23,pa_degrs_23,aprn_degrs_23,dent_degrs_23,pharm_degrs_23,physicians_per_100k,rn_per_100k,dentists_per_100k,pharmacists_per_100k,aprn_per_100k,pa_per_100k
1,AL,5054253,12442,8745,3697,1347.0,3029.0,1301.0,57118,6560,1830.0,5788.0,2887,1441.0,2592.0,982.0,4974,5285,9588.0,27248,21100.0,,770.0,53340.0,4730.0,,5880.0,2750.0,1390.0,48.86,34.16,51.41,,64.39,46.65,45.87,30.78,16.82,13.03,8725,719.0,1092.0,1548.0,42613,10789.0,1213.0,832.0,415.0,6347,196.0,598.0,79.0,260.0,246.16891952183636,1130.0977612319764,36.20713090539789,114.51741731171748,129.79168237126237,25.740697982471396
2,AK,733971,2158,1228,930,,,,8538,703,,,998,,,588.0,1574,1294,1299.0,4106,6220.0,,670.0,7040.0,570.0,260.0,510.0,600.0,340.0,65.55,53.22,69.93,110.98,78.46,52.23,48.11,45.29,24.93,18.45,1754,,,,6104,,,,,256,,0.0,,,294.0170660693679,1163.261218767499,,,95.78035099479408,
4,AZ,7268175,18253,11945,6308,1195.0,4532.0,3522.0,67664,6631,4125.0,7795.0,6166,2649.0,2358.0,5125.0,9087,10257,17480.0,21668,69100.0,,3540.0,64430.0,7540.0,2930.0,7690.0,4540.0,2390.0,65.02,46.58,64.32,99.36,66.39,48.88,49.14,38.12,21.84,17.37,11278,774.0,1480.0,3864.0,44557,3283.0,11226.0,4543.0,413.0,13168,229.0,451.0,146.0,245.0,251.13594540582744,930.9627244803545,56.75427462877545,107.24838078334659,91.23335637900848,48.45783157395082
5,AR,3032651,6493,4291,2202,,1244.0,630.0,34031,2833,920.0,2645.0,2296,2063.0,1446.0,877.0,2758,3265,3385.0,21687,19720.0,,970.0,28320.0,3350.0,990.0,3100.0,2740.0,1740.0,49.78,37.08,54.64,82.93,64.54,46.56,47.76,32.67,17.86,13.03,4583,,,1052.0,27415,3055.0,1306.0,757.0,288.0,2615,71.0,57.0,,112.0,214.10310648999837,1122.153521786714,30.336494374064145,87.21742132543442,93.4166180018736,20.77390375615262
6,CA,39242785,115435,66542,48893,6227.0,26794.0,13769.0,342017,20494,26082.0,37806.0,26755,12274.0,14850.0,43112.0,59805,66348,90826.0,147999,875110.0,,13570.0,326720.0,20980.0,14760.0,34490.0,24380.0,12020.0,77.44,67.47,80.1,85.84,79.4,59.28,57.44,49.1,23.1,16.64,53323,3821.0,9697.0,42440.0,126738,23082.0,61275.0,114514.0,1760.0,18933,608.0,513.0,780.0,1198.0,294.15598306797034,871.5410998480357,66.46317278450039,96.33872825284953,52.22361256980105,35.086704473191695
8,CO,5810774,18758,10732,8026,912.0,3424.0,4124.0,57817,5833,3572.0,5805.0,7025,3194.0,1928.0,6855.0,9269,8345,11398.0,26107,,,,,,,,,,,,,,,,,,,,14620,,1184.0,2089.0,44387,2157.0,6407.0,2323.0,457.0,3597,133.0,31.0,119.0,174.0,322.81413801328364,994.9965357454961,61.47201732505859,99.90063285889282,100.38249637655845,70.97161238760964
9,CT,3598348,14223,8542,5681,1345.0,3042.0,2646.0,38042,2788,2230.0,3519.0,4222,1835.0,1124.0,5317.0,5200,7929,7150.0,27475,41890.0,,3700.0,39020.0,3680.0,1840.0,3040.0,4310.0,3000.0,66.56,48.84,66.81,92.9,65.07,49.87,49.08,40.02,22.36,18.36,9147,758.0,1009.0,2674.0,26645,3985.0,3023.0,2739.0,316.0,3741,283.0,172.0,49.0,190.0,395.2647159196387,1057.2073629343245,61.97288311191691,97.7948769824375,77.47999915516787,73.53374381799648
10,DE,1005873,3375,2192,1183,,815.0,465.0,13395,1106,546.0,889.0,939,517.0,585.0,1160.0,1674,1562,2623.0,6204,9750.0,,690.0,13260.0,1210.0,360.0,790.0,910.0,480.0,66.69,44.53,61.45,108.02,67.53,49.58,46.19,42.01,20.11,15.27,2302,,,589.0,9270,2475.0,554.0,430.0,,981,,44.0,,,335.5294356245769,1331.6790489455427,54.281206474375985,88.3809387467404,109.95423875578726,46.228500019386146
11,DC,672079,6437,3362,3075,1047.0,959.0,784.0,10811,753,563.0,1192.0,898,457.0,,1648.0,1227,1944,1105.0,6271,11490.0,,620.0,9790.0,790.0,370.0,820.0,850.0,530.0,63.01,50.27,63.16,,68.06,48.44,47.73,50.12,23.91,18.95,3483,1144.0,,1255.0,3392,5515.0,516.0,1096.0,481.0,963,62.0,55.0,79.0,63.0,957.77430927019,1608.5906567531495,83.76991395356795,177.36010201181708,112.04040001249852,116.6529530010609
12,FL,21928881,64392,42711,21681,4389.0,14958.0,9639.0,234541,21243,12258.0,24077.0,18162,8386.0,7849.0,11837.0,26398,22178,48712.0,134046,87500.0,,10570.0,218100.0,24690.0,8400.0,20270.0,17050.0,9230.0,61.15,39.83,62.02,78.3,65.13,47.54,47.63,38.32,19.9,15.66,32786,3755.0,14951.0,10322.0,121500,41120.0,47717.0,14865.0,1392.0,19965,717.0,926.0,234.0,769.0,293.6401542787341,1069.5529790142962,55.89888512779106,109.79584411990744,96.87224806409411,43.95573125687535
