Year,suicidal thoughts,State,Search_Term,suicide hotline,self harm,mental health crisis,suicide prevention,crisis hotline,psychiatric hospital,depression help
2013,66.83333333333333,Alabama,suicidal thoughts,,,,,,,
2014,42.083333333333336,Alabama,suicidal thoughts,,,,,,,
2015,47.25,Alabama,suicidal thoughts,,,,,,,
2016,52.25,Alabama,suicidal thoughts,,,,,,,
2017,50.833333333333336,Alabama,suicidal thoughts,,,,,,,
2018,65.0,Alabama,suicidal thoughts,,,,,,,
2019,59.666666666666664,Alabama,suicidal thoughts,,,,,,,
2020,42.25,Alabama,suicidal thoughts,,,,,,,
2021,31.0,Alabama,suicidal thoughts,,,,,,,
2022,45.666666666666664,Alabama,suicidal thoughts,,,,,,,
2023,41.333333333333336,Alabama,suicidal thoughts,,,,,,,
2013,,Alabama,suicide hotline,11.166666666666666,,,,,,
2014,,Alabama,suicide hotline,14.5,,,,,,
2015,,Alabama,suicide hotline,33.916666666666664,,,,,,
2016,,Alabama,suicide hotline,38.583333333333336,,,,,,
2017,,Alabama,suicide hotline,61.166666666666664,,,,,,
2018,,Alabama,suicide hotline,68.0,,,,,,
2019,,Alabama,suicide hotline,54.5,,,,,,
2020,,Alabama,suicide hotline,55.083333333333336,,,,,,
2021,,Alabama,suicide hotline,49.666666666666664,,,,,,
2022,,Alabama,suicide hotline,68.5,,,,,,
2023,,Alabama,suicide hotline,60.25,,,,,,
2013,,Alabama,self harm,,58.5,,,,,
2014,,Alabama,self harm,,58.25,,,,,
2015,,Alabama,self harm,,49.916666666666664,,,,,
2016,,Alabama,self harm,,41.416666666666664,,,,,
2017,,Alabama,self harm,,33.666666666666664,,,,,
2018,,Alabama,self harm,,28.25,,,,,
2019,,Alabama,self harm,,29.583333333333332,,,,,
2020,,Alabama,self harm,,28.0,,,,,
2021,,Alabama,self harm,,32.083333333333336,,,,,
2022,,Alabama,self harm,,32.916666666666664,,,,,
2023,,Alabama,self harm,,37.0,,,,,
2013,,Alabama,mental health crisis,,,0.0,,,,
2014,,Alabama,mental health crisis,,,0.0,,,,
2015,,Alabama,mental health crisis,,,0.0,,,,
2016,,Alabama,mental health crisis,,,0.0,,,,
2017,,Alabama,mental health crisis,,,5.416666666666667,,,,
2018,,Alabama,mental health crisis,,,0.0,,,,
2019,,Alabama,mental health crisis,,,7.333333333333333,,,,
2020,,Alabama,mental health crisis,,,5.916666666666667,,,,
2021,,Alabama,mental health crisis,,,6.25,,,,
2022,,Alabama,mental health crisis,,,28.416666666666668,,,,
2023,,Alabama,mental health crisis,,,47.333333333333336,,,,
2013,,Alabama,suicide prevention,,,,9.833333333333334,,,
