Variable,Count,Mean,Median,Std Dev,Minimum,Q1,Q3,Maximum,Skew,Kurtosis
state_population,452.0,6856513.13,4995066.5,7384389.65,579054.0,1957910.75,8565122.25,39437610.0,2.44,6.86
admission_rate_per_100k,452.0,401.8,395.85,148.15,110.11,285.13,497.96,826.91,0.55,-0.05
suicidal thoughts_lag1,450.0,38.57,44.17,24.53,0.0,15.52,56.56,88.42,-0.32,-1.08
suicide hotline_lag1,450.0,36.55,39.42,19.31,0.0,24.08,52.37,71.0,-0.37,-0.92
self harm_lag1,450.0,43.82,45.54,21.53,0.0,32.42,57.6,90.75,-0.3,-0.51
mental health crisis_lag1,450.0,16.69,7.54,20.78,0.0,0.0,29.1,87.33,1.18,0.46
suicide prevention_lag1,450.0,25.07,27.33,10.3,0.0,18.65,32.92,50.67,-0.56,-0.37
crisis hotline_lag1,450.0,24.04,14.08,24.54,0.0,0.0,47.56,82.17,0.54,-1.21
psychiatric hospital_lag1,450.0,44.76,55.21,28.62,0.0,14.08,69.73,89.5,-0.4,-1.38
depression help_lag1,450.0,51.06,58.21,22.21,0.0,41.5,67.65,81.83,-1.0,-0.16
admission_rate_lag2,360.0,409.22,403.03,152.33,110.11,288.33,503.29,826.91,0.53,-0.1
neighbor_admission_rate_lag1,408.0,410.82,417.38,93.82,190.4,366.49,470.2,682.9,-0.15,-0.03
