State,Avg_Admission_Rate,Avg_Admissions,Avg_Population
Rhode Island,763.1205380613104,8155.0,1069922.7
Missouri,751.9862907986673,46085.0,6131310.8
New York,665.3103989885932,130505.0,19621991.0
Illinois,571.4569700421952,72780.0,12727183.1
Arkansas,552.8614635508235,16680.0,3015224.1
South Dakota,551.8789490567726,4870.0,882418.6
West Virginia,545.3868396796222,9865.0,1806098.2
Massachusetts,500.8259309515803,34535.0,6902303.0
Ohio,500.69047673679097,58520.0,11694005.3
Florida,492.30555474035253,104820.0,21333754.6
Minnesota,491.59776524890503,27540.0,5613208.5
Louisiana,487.61573515886437,22665.0,4646427.2
Mississippi,482.36803943637494,14345.0,2972259.4
North Dakota,480.9443535439048,3675.0,764147.6
New Jersey,474.1303388593199,42685.0,9012490.5
Maryland,463.80563501860706,28090.0,6070092.0
Pennsylvania,459.60962749370873,59040.0,12856731.0
Nebraska,450.9045145907495,8720.0,1931659.4
Kentucky,440.44260802289983,19685.0,4473542.2
Utah,426.85332658708575,13655.0,3186121.0
Iowa,423.3573512966085,13415.0,3159885.1
Virginia,419.6888389122008,35815.0,8530259.9
Indiana,414.3246518510846,27840.0,6722895.8
Kansas,391.96440343568486,11445.0,2920238.4
Montana,374.23862041749226,4000.0,1072123.0
North Carolina,362.68271830468757,37635.0,10404875.8
Wisconsin,356.50541960913114,20750.0,5826694.8
Maine,354.4283501853265,4790.0,1353702.6
Alaska,338.1817708039932,2488.8888888888887,736252.8888888889
Tennessee,335.1051793156659,22770.0,6818437.6
New Mexico,325.13631418490496,6830.0,2101492.1
Michigan,295.87383881335325,29550.0,9988441.3
California,295.37708446694444,115666.66666666667,39166599.777777776
Nevada,284.5493372180276,8507.142857142857,2976981.8571428573
Vermont,283.1051738194916,1783.3333333333333,629783.1111111111
Hawaii,282.77088217182956,4030.0,1425837.6
Oklahoma,280.9531497109994,11115.0,3961720.0
South Carolina,263.01436150107213,13390.0,5105454.2
Colorado,245.62902761531353,13940.0,5681155.3
Oregon,242.53000095473539,10065.0,4161676.2
Wyoming,236.0690282539304,1375.0,582235.3
Arizona,217.5769244739789,15575.0,7153217.0
Georgia,215.74747394063382,22740.0,10562415.5
Delaware,201.0728743657496,1993.75,987394.5
Washington,194.42371453224263,14570.0,7515695.8
Texas,190.18138128088012,54590.0,28801874.9
